CM_ÁÎÐÒ_À âèòoê=1107(121107) 3 ôeâpaëÿ 2020ã.s8 Ha÷.Kaäp=0   date=3 2 2020
                 1    ,       2    ,      3    ,      4    ,
     t           MMPTCT      MMPTCT      ÃPAÄ C      MMPTCT  t_ÁOPTOBOE   BÈTOK
 6:33:59.786         ~           ~      25.23614         ~    6:34:00.574  1107
 6:33:59.807         ~     734.78174         ~           ~    6:34:00.595  1107
 6:34:00.528   734.71979         ~           ~           ~    6:34:01.319  1107
 6:34:00.847         ~           ~           ~     740.27441  6:34:01.638  1107
 6:34:01.144         ~           ~      25.23614         ~    6:34:01.936  1107
 6:34:01.165         ~     734.78174         ~           ~    6:34:01.957  1107
 6:34:01.886   734.71979         ~           ~           ~    6:34:02.645  1107
 6:34:02.204         ~           ~           ~     740.27441  6:34:02.958  1107
 6:34:02.501         ~           ~      25.23614         ~    6:34:03.276  1107
 6:34:02.522         ~     734.78174         ~           ~    6:34:03.297  1107
 6:34:03.243   734.71979         ~           ~           ~    6:34:04.021  1107
 6:34:03.562         ~           ~           ~     740.27441  6:34:04.340  1107
 6:34:03.859         ~           ~      25.23614         ~    6:34:04.638  1107
 6:34:03.880         ~     739.42999         ~           ~    6:34:04.659  1107
 6:34:04.601   734.71979         ~           ~           ~    6:34:05.382  1107
 6:34:04.919         ~           ~           ~     740.27441  6:34:05.702  1107
 6:34:05.216         ~           ~      25.23614         ~    6:34:07.000  1107
 6:34:05.237         ~     734.78174         ~           ~    6:34:06.021  1107
 6:34:05.960   734.71979         ~           ~           ~    6:34:06.744  1107
 6:34:06.279         ~           ~           ~     740.27441  6:34:07.063  1107
 6:34:06.578         ~           ~      25.23614         ~    6:34:07.361  1107
 6:34:06.599         ~     739.42999         ~           ~    6:34:07.382  1107
 6:34:07.320   734.71979         ~           ~           ~    6:34:08.083  1107
 6:34:07.638         ~           ~           ~     740.27441  6:34:08.395  1107
 6:34:07.935         ~           ~      25.23614         ~    6:34:08.687  1107
 6:34:07.956         ~     734.78174         ~           ~    6:34:08.708  1107
 6:34:08.677   734.71979         ~           ~           ~    6:34:09.446  1107
 6:34:08.996         ~           ~           ~     740.27441  6:34:09.765  1107
 6:34:09.293         ~           ~      25.23614         ~    6:34:10.063  1107
 6:34:09.314         ~     739.42999         ~           ~    6:34:10.085  1107
 6:34:10.035   734.71979         ~           ~           ~    6:34:10.808  1107
 6:34:10.353         ~           ~           ~     740.27441  6:34:11.127  1107
 6:34:10.650         ~           ~      25.23614         ~    6:34:11.425  1107
 6:34:10.671         ~     739.42999         ~           ~    6:34:11.446  1107
 6:34:11.392   734.71979         ~           ~           ~    6:34:12.170  1107
 6:34:11.711         ~           ~           ~     740.27441  6:34:12.489  1107
 6:34:12.008         ~           ~      25.23614         ~    6:34:12.787  1107
 6:34:12.029         ~     734.78174         ~           ~    6:34:12.808  1107
 6:34:12.750   734.71979         ~           ~           ~    6:34:13.531  1107
 6:34:13.068         ~           ~           ~     740.27441  6:34:13.851  1107
